Player's Name,Player's Image,Pts,Rebounds,Assists,Player's URL
Omari Spellman,https://www.nbcsports.com/bayarea/sites/csnbayarea/files/2019/11/28/omarispellmancelebrationusa.jpg,1,1,1,https://en.wikipedia.org/wiki/Omari_Spellman
Draymond Green,https://www.mercurynews.com/wp-content/uploads/2020/01/BNG-L-WARRIORS-0105-13.jpg,5,3,2,https://en.wikipedia.org/wiki/Draymond_Green
Damion Lee,https://www.nbcsports.com/bayarea/sites/csnbayarea/files/2019/12/10/damionleeap_1.jpg,7,4,1,https://en.wikipedia.org/wiki/Damion_Lee
Jacob Evans,https://www.nba.com/warriors/sites/warriors/files/evans_wts_12802.jpg?w=756&h=425,8,4,4,https://en.wikipedia.org/wiki/Jacob_Evans
Marquese Chriss,https://img.bleacherreport.net/img/images/photos/003/847/378/hi-res-ec034d17ea0f3669a53f49b7d319c489_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top,8,7,0,https://en.wikipedia.org/wiki/Marquese_Chriss
Kevon Looney,https://img.bleacherreport.net/img/images/photos/003/810/516/hi-res-2b4cac2f9da99145b1b370fa69de6735_crop_north.jpg?1558876046&w=3072&h=2048,11,5,3,https://en.wikipedia.org/wiki/Kevon_Looney
Eric Paschall,https://www.mercurynews.com/wp-content/uploads/2019/11/BNG-L-WARRIORS-1103-20.jpg,15,5,2,https://en.wikipedia.org/wiki/Eric_Paschall
Jordan Poole,https://cdn.vox-cdn.com/thumbor/vjIi3zGZGwiRPSIBZxI6p36NgI8=/0x0:2769x2701/1200x800/filters:focal(744x847:1392x1495)/cdn.vox-cdn.com/uploads/chorus_image/image/65519565/1176820141.jpg.0.jpg,16,2,4,https://en.wikipedia.org/wiki/Jordan_Poole
D'Angelo Russell,https://d1l5jyrrh5eluf.cloudfront.net/wp-content/uploads/2019/11/GettyImages-1182741375.jpg,17,3,3,https://en.wikipedia.org/wiki/D%27Angelo_Russell
Player's Name,Player's Image,Pts,Rebounds,Assists,Player's URL
Theo Pinson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3138154.png,0,2,5,https://en.wikipedia.org/wiki/Theo_Pinson
Jeremiah Martin,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907788.png&w=350&h=254,2,0,1,https://en.wikipedia.org/wiki/Jeremiah_Martin
Jarrett Allen,https://www.nba.com/nets/sites/nets/files/gettyimages-1091112214.jpg,4,13,1,https://en.wikipedia.org/wiki/Jarrett_Allen
Chris Chiozza,https://cdn.vox-cdn.com/thumbor/gKhWaNsSzGdYTeH6jxOb_UQ_Y6I=/125x110:708x720/1200x800/filters:focal(334x249:538x453)/cdn.vox-cdn.com/uploads/chorus_image/image/66129913/EOhvd07X4AIRD_v.0.jpg,7,1,1,https://en.wikipedia.org/wiki/Chris_Chiozza
Spencer Dinwiddie,https://img.bleacherreport.net/img/images/photos/003/849/643/hi-res-348c0fbcdfd451665a446bea7b0c167c_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top,8,5,4,https://en.wikipedia.org/wiki/Spencer_Dinwiddie
Dzanan Musa,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4348696.png,9,4,0,https://en.wikipedia.org/wiki/D%C5%BEanan_Musa
Wilson Chandler,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3194.png,9,3,7,https://en.wikipedia.org/wiki/Wilson_Chandler
DeAndre Jordan,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3442.png,10,7,0,https://en.wikipedia.org/wiki/DeAndre_Jordan
Rodions Kurucs,https://cdn.vox-cdn.com/thumbor/gBUmi76kP4Qn2BVUvWZUr0V_Oic=/0x0:3000x2001/1200x800/filters:focal(1290x542:1770x1022)/cdn.vox-cdn.com/uploads/chorus_image/image/65523377/1182512422.jpg.0.jpg,12,5,0,https://en.wikipedia.org/wiki/Rodions_Kurucs
Taurean Prince,https://img.bleacherreport.net/img/images/photos/003/834/340/hi-res-77b5ee29647f9f197a8913730cb132b8_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top,12,6,1,https://en.wikipedia.org/wiki/Taurean_Prince
Garrett Temple,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4023.png,16,6,2,https://en.wikipedia.org/wiki/Garrett_Temple
Joe Harris,https://cdn.vox-cdn.com/thumbor/J47nDTnOIc5v5uXTEpdLTnqkg-s=/0x0:3552x2368/1200x800/filters:focal(1375x683:1943x1251)/cdn.vox-cdn.com/uploads/chorus_image/image/62823506/1059790098.jpg.0.jpg,17,9,1,https://en.wikipedia.org/wiki/Joe_Harris_(basketball)
Caris LeVert,https://clutchpoints.com/wp-content/uploads/2019/04/Caris-LeVert-is-first-Nets-player-to-score-25-plus-points-in-consecutive-playoff-games-since-2007.jpg,23,4,8,https://en.wikipedia.org/wiki/Caris_LeVert
Warriors: 89,vs.,Nets: 129,,,
